market_id,mlc_franchise_market,mlc_matches_2026,t20_wc_2024_host,official_wc_fan_park_2024,la28_cricket_host
1,True,False,True,True,False
2,True,True,True,True,False
3,False,False,False,False,False
4,True,True,False,False,True
5,True,True,False,True,False
6,True,False,False,True,False
7,True,False,False,False,False
8,False,False,False,False,False
9,False,False,False,False,False
10,False,False,False,False,False
11,False,False,False,False,False
12,False,False,True,True,False
13,False,False,False,False,False
14,False,False,False,False,False
15,False,False,False,False,False
16,False,False,False,False,False
17,False,False,False,False,False
18,False,False,False,False,False
19,False,False,False,False,False
20,False,False,False,False,False
21,False,False,False,False,False
22,False,False,False,False,False
23,False,False,False,False,False
24,False,False,False,False,False
