market_id,census_metro_code,metro_name,state_region,total_population,cricket_connected_foreign_born,cricket_connected_pct,avg_interest_rank,mlc_franchise_market,mlc_matches_2026,t20_wc_2024_host,official_wc_fan_park_2024,la28_cricket_host
1,35620,New York-Newark-Jersey City,NY-NJ,19798537,1279990,6.47,4.0,True,False,True,True,False
2,19100,Dallas-Fort Worth-Arlington,TX,7985590,277201,3.47,1.67,True,True,True,True,False
3,26420,Houston-Pasadena-The Woodlands,TX,7442788,202199,2.72,5.0,False,False,False,False,False
4,31080,Los Angeles-Long Beach-Anaheim,CA,12974487,217956,1.68,22.0,True,True,False,False,True
5,41860,San Francisco-Oakland-Fremont,CA,4645029,237928,5.12,1.67,True,True,False,True,False
6,42660,Seattle-Tacoma-Bellevue,WA,4061920,150400,3.7,11.0,True,False,False,True,False
7,47900,Washington-Arlington-Alexandria,DC-VA-MD-WV,6318377,276392,4.37,6.33,True,False,False,False,False
8,37980,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,6272014,168062,2.68,11.67,False,False,False,False,False
9,16980,Chicago-Naperville-Elgin,IL-IN,9371595,232631,2.48,9.67,False,False,False,False,False
10,12060,Atlanta-Sandy Springs-Roswell,GA,6256377,217112,3.47,9.67,False,False,False,False,False
11,14460,Boston-Cambridge-Newton,MA-NH,4953354,144583,2.92,16.67,False,False,False,False,False
12,33100,Miami-Fort Lauderdale-West Palm Beach,FL,6249291,248429,3.98,20.0,False,False,True,True,False
13,36740,Orlando-Kissimmee-Sanford,FL,2793746,87178,3.12,17.33,False,False,False,False,False
14,38060,Phoenix-Mesa-Chandler,AZ,5028754,72354,1.44,14.67,False,False,False,False,False
15,12420,Austin-Round Rock-San Marcos,TX,2426592,77517,3.19,2.67,False,False,False,False,False
16,39580,Raleigh-Cary,NC,1487302,53570,3.6,6.67,False,False,False,False,False
17,16740,Charlotte-Concord-Gastonia,NC-SC,2768407,62908,2.27,11.0,False,False,False,False,False
18,19820,Detroit-Warren-Dearborn,MI,4376828,104846,2.4,14.0,False,False,False,False,False
19,33460,Minneapolis-St. Paul-Bloomington,MN-WI,3713668,48151,1.3,23.33,False,False,False,False,False
20,19740,Denver-Aurora-Centennial,CO,3002721,41057,1.37,22.67,False,False,False,False,False
21,41740,San Diego-Chula Vista-Carlsbad,CA,3288774,60411,1.84,19.33,False,False,False,False,False
22,40900,Sacramento-Roseville-Folsom,CA,2426388,80511,3.32,8.33,False,False,False,False,False
23,34980,Nashville-Davidson--Murfreesboro--Franklin,TN,2079596,22210,1.07,17.33,False,False,False,False,False
24,41180,St. Louis,MO-IL,2810850,30756,1.09,18.33,False,False,False,False,False
