market_id,year,country,cricket_region,population,acs_variable
1,2024,Australia and New Zealand Subregion,Australia & New Zealand,15750,B05006_131E
1,2024,Afghanistan,South Asia,6793,B05006_057E
1,2024,Bangladesh,South Asia,126468,B05006_058E
1,2024,India,South Asia,365069,B05006_060E
1,2024,Nepal,South Asia,18456,B05006_063E
1,2024,Pakistan,South Asia,77040,B05006_064E
1,2024,Sri Lanka,South Asia,8903,B05006_065E
1,2024,South Africa,Southern Africa,10320,B05006_117E
1,2024,Zimbabwe,Southern Africa,2046,B05006_103E
1,2024,Ireland,UK & Ireland,29179,B05006_005E
1,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,66817,B05006_008E
1,2024,Barbados,West Indies,24682,B05006_142E
1,2024,Guyana,West Indies,177808,B05006_171E
1,2024,Jamaica,West Indies,250967,B05006_148E
1,2024,Trinidad and Tobago,West Indies,99692,B05006_151E
2,2024,Australia and New Zealand Subregion,Australia & New Zealand,2531,B05006_131E
2,2024,Afghanistan,South Asia,6342,B05006_057E
2,2024,Bangladesh,South Asia,9009,B05006_058E
2,2024,India,South Asia,181474,B05006_060E
2,2024,Nepal,South Asia,19246,B05006_063E
2,2024,Pakistan,South Asia,24176,B05006_064E
2,2024,Sri Lanka,South Asia,2112,B05006_065E
2,2024,South Africa,Southern Africa,4618,B05006_117E
2,2024,Zimbabwe,Southern Africa,3151,B05006_103E
2,2024,Ireland,UK & Ireland,1230,B05006_005E
2,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,15437,B05006_008E
2,2024,Barbados,West Indies,381,B05006_142E
2,2024,Guyana,West Indies,1369,B05006_171E
2,2024,Jamaica,West Indies,4736,B05006_148E
2,2024,Trinidad and Tobago,West Indies,1389,B05006_151E
3,2024,Australia and New Zealand Subregion,Australia & New Zealand,3138,B05006_131E
3,2024,Afghanistan,South Asia,5995,B05006_057E
3,2024,Bangladesh,South Asia,4732,B05006_058E
3,2024,India,South Asia,99142,B05006_060E
3,2024,Nepal,South Asia,4308,B05006_063E
3,2024,Pakistan,South Asia,35165,B05006_064E
3,2024,Sri Lanka,South Asia,2819,B05006_065E
3,2024,South Africa,Southern Africa,5243,B05006_117E
3,2024,Zimbabwe,Southern Africa,716,B05006_103E
3,2024,Ireland,UK & Ireland,893,B05006_005E
3,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,21105,B05006_008E
3,2024,Barbados,West Indies,777,B05006_142E
3,2024,Guyana,West Indies,1389,B05006_171E
3,2024,Jamaica,West Indies,9924,B05006_148E
3,2024,Trinidad and Tobago,West Indies,6853,B05006_151E
4,2024,Australia and New Zealand Subregion,Australia & New Zealand,12611,B05006_131E
4,2024,Afghanistan,South Asia,8798,B05006_057E
4,2024,Bangladesh,South Asia,10973,B05006_058E
4,2024,India,South Asia,93805,B05006_060E
4,2024,Nepal,South Asia,4351,B05006_063E
4,2024,Pakistan,South Asia,13184,B05006_064E
4,2024,Sri Lanka,South Asia,5246,B05006_065E
4,2024,South Africa,Southern Africa,8442,B05006_117E
4,2024,Zimbabwe,Southern Africa,584,B05006_103E
4,2024,Ireland,UK & Ireland,3847,B05006_005E
4,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,45537,B05006_008E
4,2024,Barbados,West Indies,469,B05006_142E
4,2024,Guyana,West Indies,1867,B05006_171E
4,2024,Jamaica,West Indies,6222,B05006_148E
4,2024,Trinidad and Tobago,West Indies,2020,B05006_151E
5,2024,Australia and New Zealand Subregion,Australia & New Zealand,6777,B05006_131E
5,2024,Afghanistan,South Asia,12991,B05006_057E
5,2024,Bangladesh,South Asia,2339,B05006_058E
5,2024,India,South Asia,159031,B05006_060E
5,2024,Nepal,South Asia,7388,B05006_063E
5,2024,Pakistan,South Asia,9979,B05006_064E
5,2024,Sri Lanka,South Asia,1913,B05006_065E
5,2024,South Africa,Southern Africa,3208,B05006_117E
5,2024,Zimbabwe,Southern Africa,718,B05006_103E
5,2024,Ireland,UK & Ireland,6055,B05006_005E
5,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,23915,B05006_008E
5,2024,Barbados,West Indies,110,B05006_142E
5,2024,Guyana,West Indies,538,B05006_171E
