market_id,census_metro_code,metro_name,state_region,total_population
1,35620,New York-Newark-Jersey City,NY-NJ,19798537
2,19100,Dallas-Fort Worth-Arlington,TX,7985590
3,26420,Houston-Pasadena-The Woodlands,TX,7442788
4,31080,Los Angeles-Long Beach-Anaheim,CA,12974487
5,41860,San Francisco-Oakland-Fremont,CA,4645029
6,42660,Seattle-Tacoma-Bellevue,WA,4061920
7,47900,Washington-Arlington-Alexandria,DC-VA-MD-WV,6318377
8,37980,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,6272014
9,16980,Chicago-Naperville-Elgin,IL-IN,9371595
10,12060,Atlanta-Sandy Springs-Roswell,GA,6256377
11,14460,Boston-Cambridge-Newton,MA-NH,4953354
12,33100,Miami-Fort Lauderdale-West Palm Beach,FL,6249291
13,36740,Orlando-Kissimmee-Sanford,FL,2793746
14,38060,Phoenix-Mesa-Chandler,AZ,5028754
15,12420,Austin-Round Rock-San Marcos,TX,2426592
16,39580,Raleigh-Cary,NC,1487302
17,16740,Charlotte-Concord-Gastonia,NC-SC,2768407
18,19820,Detroit-Warren-Dearborn,MI,4376828
19,33460,Minneapolis-St. Paul-Bloomington,MN-WI,3713668
20,19740,Denver-Aurora-Centennial,CO,3002721
21,41740,San Diego-Chula Vista-Carlsbad,CA,3288774
22,40900,Sacramento-Roseville-Folsom,CA,2426388
23,34980,Nashville-Davidson--Murfreesboro--Franklin,TN,2079596
24,41180,St. Louis,MO-IL,2810850
