week_date,year,interest_index
2023-01-01,2023,27
2023-01-08,2023,26
2023-01-15,2023,27
2023-01-22,2023,22
2023-01-29,2023,23
2023-02-05,2023,25
2023-02-12,2023,26
2023-02-19,2023,25
2023-02-26,2023,29
2023-03-05,2023,29
2023-03-12,2023,30
2023-03-19,2023,29
2023-03-26,2023,26
2023-04-02,2023,25
2023-04-09,2023,25
2023-04-16,2023,25
2023-04-23,2023,26
2023-04-30,2023,27
2023-05-07,2023,27
2023-05-14,2023,27
2023-05-21,2023,26
2023-05-28,2023,27
2023-06-04,2023,33
2023-06-11,2023,28
2023-06-18,2023,28
2023-06-25,2023,27
2023-07-02,2023,31
2023-07-09,2023,31
2023-07-16,2023,34
2023-07-23,2023,36
2023-07-30,2023,29
2023-08-06,2023,27
2023-08-13,2023,26
2023-08-20,2023,30
2023-08-27,2023,35
2023-09-03,2023,36
2023-09-10,2023,46
2023-09-17,2023,35
2023-09-24,2023,41
2023-10-01,2023,56
2023-10-08,2023,85
2023-10-15,2023,85
2023-10-22,2023,94
2023-10-29,2023,95
2023-11-05,2023,100
2023-11-12,2023,90
2023-11-19,2023,74
2023-11-26,2023,29
2023-12-03,2023,26
2023-12-10,2023,27
2023-12-17,2023,28
2023-12-24,2023,30
2023-12-31,2023,28
2023-12-31,2024,25
2024-01-07,2024,22
2024-01-14,2024,24
2024-01-21,2024,23
2024-01-28,2024,24
2024-02-04,2024,24
2024-02-11,2024,24
2024-02-18,2024,34
2024-02-25,2024,28
2024-03-03,2024,23
2024-03-10,2024,20
2024-03-17,2024,25
2024-03-24,2024,22
2024-03-31,2024,23
2024-04-07,2024,21
2024-04-14,2024,24
2024-04-21,2024,25
2024-04-28,2024,27
2024-05-05,2024,26
2024-05-12,2024,25
2024-05-19,2024,28
2024-05-26,2024,33
2024-06-02,2024,79
2024-06-09,2024,100
2024-06-16,2024,57
2024-06-23,2024,77
2024-06-30,2024,32
2024-07-07,2024,30
2024-07-14,2024,25
2024-07-21,2024,25
2024-07-28,2024,30
2024-08-04,2024,26
2024-08-11,2024,23
2024-08-18,2024,25
2024-08-25,2024,24
2024-09-01,2024,25
2024-09-08,2024,24
2024-09-15,2024,30
2024-09-22,2024,29
2024-09-29,2024,31
2024-10-06,2024,32
2024-10-13,2024,31
2024-10-20,2024,27
2024-10-27,2024,24
2024-11-03,2024,25
2024-11-10,2024,31
2024-11-17,2024,29
2024-11-24,2024,30
2024-12-01,2024,27
2024-12-08,2024,25
2024-12-15,2024,32
2024-12-22,2024,32
2024-12-29,2024,35
2024-12-29,2025,80
2025-01-05,2025,50
2025-01-12,2025,44
2025-01-19,2025,46
2025-01-26,2025,51
2025-02-02,2025,52
2025-02-09,2025,57
2025-02-16,2025,67
2025-02-23,2025,93
2025-03-02,2025,82
2025-03-09,2025,77
2025-03-16,2025,53
2025-03-23,2025,65
2025-03-30,2025,58
2025-04-06,2025,54
2025-04-13,2025,57
2025-04-20,2025,59
2025-04-27,2025,68
2025-05-04,2025,66
2025-05-11,2025,61
2025-05-18,2025,59
2025-05-25,2025,53
2025-06-01,2025,60
2025-06-08,2025,66
2025-06-15,2025,63
2025-06-22,2025,75
2025-06-29,2025,70
2025-07-06,2025,68
2025-07-13,2025,65
2025-07-20,2025,80
2025-07-27,2025,100
2025-08-03,2025,69
2025-08-10,2025,55
2025-08-17,2025,51
2025-08-24,2025,52
2025-08-31,2025,52
2025-09-07,2025,59
2025-09-14,2025,80
2025-09-21,2025,90
2025-09-28,2025,89
2025-10-05,2025,66
2025-10-12,2025,67
2025-10-19,2025,74
2025-10-26,2025,78
2025-11-02,2025,82
2025-11-09,2025,56
2025-11-16,2025,70
2025-11-23,2025,69
2025-11-30,2025,91
2025-12-07,2025,94
2025-12-14,2025,100
2025-12-21,2025,76
2025-12-28,2025,67
